MatchNo,PlayerA,PlayerB,Result,MMR_A,MMR_B
12124,Player101,Player59,TEAM_A_WIN,1195,1200
12125,Player59,Player130,TEAM_A_WIN,1220,1200
12126,Player4,Player53,TEAM_B_WIN,1160,1160
12127,Player4,Player53,TEAM_B_WIN,1145,1180
12128,Player4,Player130,TEAM_A_WIN,1165,1185
12129,Player101,Player4,TEAM_A_WIN,1215,1150
12130,Player24,Player29,TEAM_B_WIN,1195,1265
12131,Player29,Player143,TEAM_A_WIN,1285,1230
12132,Player35,Player24,TEAM_A_WIN,1300,1180
12133,Player35,Player186,TEAM_A_WIN,1320,1225
12134,Player29,Player35,TEAM_B_WIN,1270,1340
12135,Player117,Player29,TEAM_B_WIN,1225,1290
12136,Player86,Player35,TEAM_A_WIN,1260,1325
12137,Player86,Player143,TEAM_A_WIN,1280,1215
12138,Player124,Player143,TEAM_A_WIN,1305,1200
12139,Player124,Player117,TEAM_B_WIN,1290,1245
12140,Player117,Player24,TEAM_B_WIN,1230,1200
12141,Player86,Player117,TEAM_B_WIN,1265,1250
12142,Player24,Player143,TEAM_A_WIN,1220,1185
12143,Player124,Player86,TEAM_B_WIN,1275,1285
12144,Player124,Player186,TEAM_A_WIN,1295,1210
12145,Player172,Player155,TEAM_B_WIN,1175,1225
12146,Player155,Player170,TEAM_B_WIN,1210,1250
12147,Player128,Player155,TEAM_A_WIN,1180,1195
12148,Player172,Player155,TEAM_A_WIN,1195,1180
12149,Player128,Player170,TEAM_B_WIN,1165,1270
12150,Player170,Player172,TEAM_B_WIN,1255,1215
12151,Player128,Player172,TEAM_A_WIN,1185,1200
12152,Player128,Player170,TEAM_B_WIN,1170,1275
12153,Player110,Player148,TEAM_A_WIN,1290,1215
12154,Player23,Player107,TEAM_A_WIN,1335,1265
12155,Player137,Player148,TEAM_B_WIN,1260,1235
12156,Player57,Player107,TEAM_A_WIN,1270,1250
12157,Player23,Player57,TEAM_A_WIN,1355,1255
12158,Player106,Player137,TEAM_B_WIN,1260,1280
12159,Player110,Player88,TEAM_B_WIN,1275,1295
12160,Player107,Player167,TEAM_A_WIN,1270,1255
12161,Player148,Player110,TEAM_B_WIN,1220,1295
12162,Player88,Player137,TEAM_A_WIN,1315,1265
12163,Player106,Player57,TEAM_B_WIN,1245,1275
12164,Player23,Player148,TEAM_A_WIN,1375,1205
12165,Player23,Player57,TEAM_A_WIN,1395,1260
12166,Player110,Player107,TEAM_B_WIN,1280,1290
12167,Player106,Player167,TEAM_A_WIN,1265,1240
12168,Player167,Player106,TEAM_B_WIN,1225,1285
12169,Player137,Player88,TEAM_B_WIN,1250,1335
12170,Player88,Player167,TEAM_B_WIN,1320,1245
12171,Player178,Player122,TEAM_A_WIN,1270,1295
12172,Player178,Player122,TEAM_B_WIN,1255,1315
12173,Player98,Player52,TEAM_A_WIN,1305,1305
12174,Player52,Player122,TEAM_B_WIN,1290,1335
12175,Player141,Player122,TEAM_A_WIN,1330,1320
12176,Player98,Player195,TEAM_B_WIN,1290,1360
12177,Player178,Player98,TEAM_B_WIN,1240,1310
12178,Player52,Player195,TEAM_B_WIN,1275,1380
12179,Player182,Player141,TEAM_B_WIN,1305,1350
12180,Player182,Player178,TEAM_B_WIN,1290,1260
12181,Player40,Player98,TEAM_B_WIN,1200,1330
